ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05323                                                                                                                                                                                                                         	Rheumatoid arthritis                                                                                                                                                                                                             	16/328                                                                                                                                                                                                                           	90/7250                                                                                                                                                                                                                          	2.167984e-06                                                                                                                                                                                                                     	3.063913e-05                                                                                                                                                                                                                     	2.257620e-05                                                                                                                                                                                                                     	3383/6347/3576/1435/6374/4050/2919/6372/6364/3552/3600/1513/1437/7097/6387/3553                                                                                                                                                  	16                                                                                                                                                                                                                               
hsa04622                                                                                                                                                                                                                         	RIG-I-like receptor signaling pathway                                                                                                                                                                                            	14/328                                                                                                                                                                                                                           	70/7250                                                                                                                                                                                                                          	2.206017e-06                                                                                                                                                                                                                     	3.063913e-05                                                                                                                                                                                                                     	2.257620e-05                                                                                                                                                                                                                     	3576/4792/3627/23586/64135/10010/4790/1540/4793/7186/3665/7187/79132/9636                                                                                                                                                        	14                                                                                                                                                                                                                               
hsa05200                                                                                                                                                                                                                         	Pathways in cancer                                                                                                                                                                                                               	39/328                                                                                                                                                                                                                           	395/7250                                                                                                                                                                                                                         	2.666873e-06                                                                                                                                                                                                                     	3.509043e-05                                                                                                                                                                                                                     	2.585611e-05                                                                                                                                                                                                                     	3576/4791/4792/7185/330/3918/6776/7048/4790/5293/25780/4088/3914/862/2250/7186/6932/4824/7187/1613/650/329/7157/7474/5727/8323/2770/7424/8503/23604/5371/1030/5155/6387/5337/3728/196883/5567/6469                               	39                                                                                                                                                                                                                               
hsa05202                                                                                                                                                                                                                         	Transcriptional misregulation in cancer                                                                                                                                                                                          	23/328                                                                                                                                                                                                                           	180/7250                                                                                                                                                                                                                         	5.573071e-06                                                                                                                                                                                                                     	6.966339e-05                                                                                                                                                                                                                     	5.133092e-05                                                                                                                                                                                                                     	3576/7185/330/7048/4790/55204/51513/1437/862/5328/4066/7030/8013/7157/597/5087/64332/5371/85414/2313/3728/958/2115                                                                                                               	23                                                                                                                                                                                                                               
hsa04217                                                                                                                                                                                                                         	Necroptosis                                                                                                                                                                                                                      	21/328                                                                                                                                                                                                                           	164/7250                                                                                                                                                                                                                         	1.388536e-05                                                                                                                                                                                                                     	1.653019e-04                                                                                                                                                                                                                     	1.218014e-04                                                                                                                                                                                                                     	7128/8878/330/2495/6776/3552/3718/3459/1540/8743/7098/3460/7186/148022/8605/329/6778/128866/3454/834/3553                                                                                                                        	21                                                                                                                                                                                                                               
hsa05160                                                                                                                                                                                                                         	Hepatitis C                                                                                                                                                                                                                      	18/328                                                                                                                                                                                                                           	131/7250                                                                                                                                                                                                                         	2.198520e-05                                                                                                                                                                                                                     	2.498318e-04                                                                                                                                                                                                                     	1.840866e-04                                                                                                                                                                                                                     	3576/4792/23586/9076/3659/4790/5293/7098/7186/5010/148022/3665/7187/7157/7122/4940/8503/3454                                                                                                                                     	18                                                                                                                                                                                                                               
hsa05134                                                                                                                                                                                                                         	Legionellosis                                                                                                                                                                                                                    	11/328                                                                                                                                                                                                                           	55/7250                                                                                                                                                                                                                          	2.747397e-05                                                                                                                                                                                                                     	2.986301e-04                                                                                                                                                                                                                     	2.200432e-04                                                                                                                                                                                                                     	3576/4791/4792/2919/2920/2921/4790/7097/834/840/3553                                                                                                                                                                             	11                                                                                                                                                                                                                               
hsa05203                                                                                                                                                                                                                         	Viral carcinogenesis                                                                                                                                                                                                             	23/328                                                                                                                                                                                                                           	201/7250                                                                                                                                                                                                                         	3.460593e-05                                                                                                                                                                                                                     	3.604785e-04                                                                                                                                                                                                                     	2.656157e-04                                                                                                                                                                                                                     	4791/4792/7185/3106/3133/6776/3718/3134/4790/5293/5366/7186/9734/3105/3665/7187/10488/7157/8503/4067/3107/1030/5567                                                                                                              	23                                                                                                                                                                                                                               
hsa04210                                                                                                                                                                                                                         	Apoptosis                                                                                                                                                                                                                        	18/328                                                                                                                                                                                                                           	138/7250                                                                                                                                                                                                                         	4.483261e-05                                                                                                                                                                                                                     	4.483261e-04                                                                                                                                                                                                                     	3.303456e-04                                                                                                                                                                                                                     	4792/7185/330/1520/3563/4790/8743/5293/1513/1439/5366/7186/27113/329/7157/597/8503/840                                                                                                                                           	18                                                                                                                                                                                                                               
hsa05418                                                                                                                                                                                                                         	Fluid shear stress and atherosclerosis                                                                                                                                                                                           	18/328                                                                                                                                                                                                                           	139/7250                                                                                                                                                                                                                         	4.941675e-05                                                                                                                                                                                                                     	4.751610e-04                                                                                                                                                                                                                     	3.501187e-04                                                                                                                                                                                                                     	3383/6347/7412/8878/6401/6385/3552/4790/5608/5293/7056/857/7157/10365/8503/5155/4846/3553                                                                                                                                        	18                                                                                                                                                                                                                               
hsa05222                                                                                                                                                                                                                         	Small cell lung cancer                                                                                                                                                                                                           	13/328                                                                                                                                                                                                                           	84/7250                                                                                                                                                                                                                          	8.946946e-05                                                                                                                                                                                                                     	8.284209e-04                                                                                                                                                                                                                     	6.104154e-04                                                                                                                                                                                                                     	4792/7185/330/3918/4790/5293/3914/7186/7187/329/7157/8503/1030                                                                                                                                                                   	13                                                                                                                                                                                                                               
hsa05321                                                                                                                                                                                                                         	Inflammatory bowel disease (IBD)                                                                                                                                                                                                 	11/328                                                                                                                                                                                                                           	65/7250                                                                                                                                                                                                                          	1.370241e-04                                                                                                                                                                                                                     	1.223429e-03                                                                                                                                                                                                                     	9.014743e-04                                                                                                                                                                                                                     	8809/3552/3459/4790/3460/64127/4088/7097/6778/3566/3553                                                                                                                                                                          	11                                                                                                                                                                                                                               
hsa04612                                                                                                                                                                                                                         	Antigen processing and presentation                                                                                                                                                                                              	12/328                                                                                                                                                                                                                           	77/7250                                                                                                                                                                                                                          	1.555659e-04                                                                                                                                                                                                                     	1.341086e-03                                                                                                                                                                                                                     	9.881684e-04                                                                                                                                                                                                                     	567/3106/3133/6890/1520/3134/6892/5721/3105/972/5720/3107                                                                                                                                                                        	12                                                                                                                                                                                                                               
hsa05142                                                                                                                                                                                                                         	Chagas disease (American trypanosomiasis)                                                                                                                                                                                        	14/328                                                                                                                                                                                                                           	102/7250                                                                                                                                                                                                                         	1.825282e-04                                                                                                                                                                                                                     	1.521068e-03                                                                                                                                                                                                                     	1.120787e-03                                                                                                                                                                                                                     	6347/3576/4792/7048/3459/4790/5293/3460/4088/148022/2770/8503/7097/3553                                                                                                                                                          	14                                                                                                                                                                                                                               
hsa05161                                                                                                                                                                                                                         	Hepatitis B                                                                                                                                                                                                                      	17/328                                                                                                                                                                                                                           	144/7250                                                                                                                                                                                                                         	2.519486e-04                                                                                                                                                                                                                     	2.031844e-03                                                                                                                                                                                                                     	1.497148e-03                                                                                                                                                                                                                     	3576/4792/23586/64135/6776/4790/5293/7098/4088/148022/3665/10488/7157/8503/7097/6778/3454                                                                                                                                        	17                                                                                                                                                                                                                               
hsa05416                                                                                                                                                                                                                         	Viral myocarditis                                                                                                                                                                                                                	10/328                                                                                                                                                                                                                           	59/7250                                                                                                                                                                                                                          	2.718790e-04                                                                                                                                                                                                                     	2.124055e-03                                                                                                                                                                                                                     	1.565093e-03                                                                                                                                                                                                                     	3383/3106/3133/3134/1525/3105/857/1756/3107/958                                                                                                                                                                                  	10                                                                                                                                                                                                                               
hsa05144                                                                                                                                                                                                                         	Malaria                                                                                                                                                                                                                          	9/328                                                                                                                                                                                                                            	49/7250                                                                                                                                                                                                                          	2.940391e-04                                                                                                                                                                                                                     	2.227569e-03                                                                                                                                                                                                                     	1.641367e-03                                                                                                                                                                                                                     	3383/6347/7412/3576/6401/7097/2532/958/3553                                                                                                                                                                                      	 9                                                                                                                                                                                                                               
hsa05132                                                                                                                                                                                                                         	Salmonella infection                                                                                                                                                                                                             	12/328                                                                                                                                                                                                                           	86/7250                                                                                                                                                                                                                          	4.490862e-04                                                                                                                                                                                                                     	3.302105e-03                                                                                                                                                                                                                     	2.433130e-03                                                                                                                                                                                                                     	3576/2919/2920/3552/2921/3459/4790/3460/1437/391/834/3553                                                                                                                                                                        	12                                                                                                                                                                                                                               
hsa05145                                                                                                                                                                                                                         	Toxoplasmosis                                                                                                                                                                                                                    	14/328                                                                                                                                                                                                                           	113/7250                                                                                                                                                                                                                         	5.368854e-04                                                                                                                                                                                                                     	3.834896e-03                                                                                                                                                                                                                     	2.825713e-03                                                                                                                                                                                                                     	4792/330/3918/3459/4790/5608/3460/4793/3914/5606/329/2770/7097/958                                                                                                                                                               	14                                                                                                                                                                                                                               
hsa05133                                                                                                                                                                                                                         	Pertussis                                                                                                                                                                                                                        	11/328                                                                                                                                                                                                                           	76/7250                                                                                                                                                                                                                          	5.620893e-04                                                                                                                                                                                                                     	3.903398e-03                                                                                                                                                                                                                     	2.876188e-03                                                                                                                                                                                                                     	3576/6374/6372/3552/3659/4790/148022/2770/834/840/3553                                                                                                                                                                           	11                                                                                                                                                                                                                               
hsa04630                                                                                                                                                                                                                         	Jak-STAT signaling pathway                                                                                                                                                                                                       	17/328                                                                                                                                                                                                                           	156/7250                                                                                                                                                                                                                         	6.483525e-04                                                                                                                                                                                                                     	4.380760e-03                                                                                                                                                                                                                     	3.227929e-03                                                                                                                                                                                                                     	6776/3563/3718/3600/3459/3575/5293/3460/1439/1437/3601/85480/5771/8503/6778/3454/3566                                                                                                                                            	17                                                                                                                                                                                                                               
hsa05143                                                                                                                                                                                                                         	African trypanosomiasis                                                                                                                                                                                                          	7/328                                                                                                                                                                                                                            	35/7250                                                                                                                                                                                                                          	8.174367e-04                                                                                                                                                                                                                     	5.377873e-03                                                                                                                                                                                                                     	3.962643e-03                                                                                                                                                                                                                     	3383/7412/2150/6401/8542/3620/3553                                                                                                                                                                                               	 7                                                                                                                                                                                                                               
hsa04722                                                                                                                                                                                                                         	Neurotrophin signaling pathway                                                                                                                                                                                                   	14/328                                                                                                                                                                                                                           	119/7250                                                                                                                                                                                                                         	9.061366e-04                                                                                                                                                                                                                     	5.808568e-03                                                                                                                                                                                                                     	4.279997e-03                                                                                                                                                                                                                     	4792/8767/4794/3656/4790/5293/4793/627/5580/7157/53358/8503/5664/5663                                                                                                                                                            	14                                                                                                                                                                                                                               
hsa04659                                                                                                                                                                                                                         	Th17 cell differentiation                                                                                                                                                                                                        	13/328                                                                                                                                                                                                                           	107/7250                                                                                                                                                                                                                         	1.014300e-03                                                                                                                                                                                                                     	6.339375e-03                                                                                                                                                                                                                     	4.671119e-03                                                                                                                                                                                                                     	4792/4794/6776/7048/3718/3459/4790/3460/4793/4088/6778/3566/3553                                                                                                                                                                 	13                                                                                                                                                                                                                               
hsa04350                                                                                                                                                                                                                         	TGF-beta signaling pathway                                                                                                                                                                                                       	11/328                                                                                                                                                                                                                           	84/7250                                                                                                                                                                                                                          	1.320623e-03                                                                                                                                                                                                                     	8.052582e-03                                                                                                                                                                                                                     	5.933481e-03                                                                                                                                                                                                                     	7048/4088/25805/650/4092/60436/1030/392255/4091/3399/10468                                                                                                                                                                       	11                                                                                                                                                                                                                               
hsa04670                                                                                                                                                                                                                         	Leukocyte transendothelial migration                                                                                                                                                                                             	13/328                                                                                                                                                                                                                           	112/7250                                                                                                                                                                                                                         	1.552800e-03                                                                                                                                                                                                                     	9.242855e-03                                                                                                                                                                                                                     	6.810525e-03                                                                                                                                                                                                                     	3383/7412/9076/5293/58494/4689/5010/11069/7122/50848/2770/8503/6387                                                                                                                                                              	13                                                                                                                                                                                                                               
hsa05332                                                                                                                                                                                                                         	Graft-versus-host disease                                                                                                                                                                                                        	7/328                                                                                                                                                                                                                            	41/7250                                                                                                                                                                                                                          	2.165076e-03                                                                                                                                                                                                                     	1.233762e-02                                                                                                                                                                                                                     	9.090880e-03                                                                                                                                                                                                                     	3106/3133/3552/3134/3105/3107/3553                                                                                                                                                                                               	 7                                                                                                                                                                                                                               
hsa04623                                                                                                                                                                                                                         	Cytosolic DNA-sensing pathway                                                                                                                                                                                                    	9/328                                                                                                                                                                                                                            	64/7250                                                                                                                                                                                                                          	2.171422e-03                                                                                                                                                                                                                     	1.233762e-02                                                                                                                                                                                                                     	9.090880e-03                                                                                                                                                                                                                     	4792/3627/23586/4790/4793/3665/115004/834/3553                                                                                                                                                                                   	 9                                                                                                                                                                                                                               
hsa04360                                                                                                                                                                                                                         	Axon guidance                                                                                                                                                                                                                    	17/328                                                                                                                                                                                                                           	175/7250                                                                                                                                                                                                                         	2.319750e-03                                                                                                                                                                                                                     	1.288750e-02                                                                                                                                                                                                                     	9.496053e-03                                                                                                                                                                                                                     	27289/10512/5293/1947/1942/8829/10509/7474/4690/5727/2770/8503/6387/1946/9423/6469/1948                                                                                                                                          	17                                                                                                                                                                                                                               
hsa04940                                                                                                                                                                                                                         	Type I diabetes mellitus                                                                                                                                                                                                         	7/328                                                                                                                                                                                                                            	43/7250                                                                                                                                                                                                                          	2.872096e-03                                                                                                                                                                                                                     	1.560922e-02                                                                                                                                                                                                                     	1.150153e-02                                                                                                                                                                                                                     	3106/3133/3552/3134/3105/3107/3553                                                                                                                                                                                               	 7                                                                                                                                                                                                                               
hsa05221                                                                                                                                                                                                                         	Acute myeloid leukemia                                                                                                                                                                                                           	8/328                                                                                                                                                                                                                            	55/7250                                                                                                                                                                                                                          	3.053384e-03                                                                                                                                                                                                                     	1.624140e-02                                                                                                                                                                                                                     	1.196735e-02                                                                                                                                                                                                                     	6776/4790/5293/862/6932/8503/5371/3728                                                                                                                                                                                           	 8                                                                                                                                                                                                                               
hsa04215                                                                                                                                                                                                                         	Apoptosis - multiple species                                                                                                                                                                                                     	6/328                                                                                                                                                                                                                            	33/7250                                                                                                                                                                                                                          	3.218196e-03                                                                                                                                                                                                                     	1.676144e-02                                                                                                                                                                                                                     	1.235053e-02                                                                                                                                                                                                                     	330/5366/27113/329/666/840                                                                                                                                                                                                       	 6                                                                                                                                                                                                                               
hsa05146                                                                                                                                                                                                                         	Amoebiasis                                                                                                                                                                                                                       	11/328                                                                                                                                                                                                                           	96/7250                                                                                                                                                                                                                          	3.872719e-03                                                                                                                                                                                                                     	1.975877e-02                                                                                                                                                                                                                     	1.455909e-02                                                                                                                                                                                                                     	3576/2919/3918/4790/5293/1437/3914/8503/7097/5567/3553                                                                                                                                                                           	11                                                                                                                                                                                                                               
hsa04750                                                                                                                                                                                                                         	Inflammatory mediator regulation of TRP channels                                                                                                                                                                                 	11/328                                                                                                                                                                                                                           	97/7250                                                                                                                                                                                                                          	4.196550e-03                                                                                                                                                                                                                     	2.098275e-02                                                                                                                                                                                                                     	1.546098e-02                                                                                                                                                                                                                     	2150/5608/5293/5606/5580/8605/8503/3269/196883/5567/3553                                                                                                                                                                         	11                                                                                                                                                                                                                               
hsa05220                                                                                                                                                                                                                         	Chronic myeloid leukemia                                                                                                                                                                                                         	9/328                                                                                                                                                                                                                            	71/7250                                                                                                                                                                                                                          	4.452269e-03                                                                                                                                                                                                                     	2.182485e-02                                                                                                                                                                                                                     	1.608147e-02                                                                                                                                                                                                                     	4792/6776/7048/4790/5293/4088/7157/53358/8503                                                                                                                                                                                    	 9                                                                                                                                                                                                                               
hsa04010                                                                                                                                                                                                                         	MAPK signaling pathway                                                                                                                                                                                                           	21/328                                                                                                                                                                                                                           	255/7250                                                                                                                                                                                                                         	5.578811e-03                                                                                                                                                                                                                     	2.682121e-02                                                                                                                                                                                                                     	1.976299e-02                                                                                                                                                                                                                     	4791/5971/7048/3552/4790/5608/25780/2250/7186/627/5606/1850/1326/8605/7157/408/5155/5801/5567/3553/1846                                                                                                                          	21                                                                                                                                                                                                                               
hsa05140                                                                                                                                                                                                                         	Leishmaniasis                                                                                                                                                                                                                    	9/328                                                                                                                                                                                                                            	74/7250                                                                                                                                                                                                                          	5.870267e-03                                                                                                                                                                                                                     	2.768994e-02                                                                                                                                                                                                                     	2.040311e-02                                                                                                                                                                                                                     	4792/3552/3459/4790/3460/4793/4689/7097/3553                                                                                                                                                                                     	 9                                                                                                                                                                                                                               
hsa04672                                                                                                                                                                                                                         	Intestinal immune network for IgA production                                                                                                                                                                                     	7/328                                                                                                                                                                                                                            	49/7250                                                                                                                                                                                                                          	6.073677e-03                                                                                                                                                                                                                     	2.811888e-02                                                                                                                                                                                                                     	2.071917e-02                                                                                                                                                                                                                     	23308/102723996/3600/3601/2826/6387/958                                                                                                                                                                                          	 7                                                                                                                                                                                                                               
hsa05330                                                                                                                                                                                                                         	Allograft rejection                                                                                                                                                                                                              	6/328                                                                                                                                                                                                                            	38/7250                                                                                                                                                                                                                          	6.636035e-03                                                                                                                                                                                                                     	2.963325e-02                                                                                                                                                                                                                     	2.183503e-02                                                                                                                                                                                                                     	3106/3133/3134/3105/3107/958                                                                                                                                                                                                     	 6                                                                                                                                                                                                                               
hsa04211                                                                                                                                                                                                                         	Longevity regulating pathway                                                                                                                                                                                                     	10/328                                                                                                                                                                                                                           	89/7250                                                                                                                                                                                                                          	6.637848e-03                                                                                                                                                                                                                     	2.963325e-02                                                                                                                                                                                                                     	2.183503e-02                                                                                                                                                                                                                     	6648/4790/5293/143686/10488/7157/8503/10645/196883/5567                                                                                                                                                                          	10                                                                                                                                                                                                                               
hsa04650                                                                                                                                                                                                                         	Natural killer cell mediated cytotoxicity                                                                                                                                                                                        	13/328                                                                                                                                                                                                                           	133/7250                                                                                                                                                                                                                         	6.974278e-03                                                                                                                                                                                                                     	3.058894e-02                                                                                                                                                                                                                     	2.253922e-02                                                                                                                                                                                                                     	3383/3106/3133/3459/8743/5293/3460/1437/3105/53358/8503/3107/3454                                                                                                                                                                	13                                                                                                                                                                                                                               
hsa04658                                                                                                                                                                                                                         	Th1 and Th2 cell differentiation                                                                                                                                                                                                 	10/328                                                                                                                                                                                                                           	92/7250                                                                                                                                                                                                                          	8.356705e-03                                                                                                                                                                                                                     	3.602028e-02                                                                                                                                                                                                                     	2.654126e-02                                                                                                                                                                                                                     	4792/4794/6776/3718/3459/4790/3460/4793/6778/3566                                                                                                                                                                                	10                                                                                                                                                                                                                               
hsa05217                                                                                                                                                                                                                         	Basal cell carcinoma                                                                                                                                                                                                             	7/328                                                                                                                                                                                                                            	55/7250                                                                                                                                                                                                                          	1.139477e-02                                                                                                                                                                                                                     	4.828293e-02                                                                                                                                                                                                                     	3.557689e-02                                                                                                                                                                                                                     	6932/650/7157/7474/5727/8323/6469                                                                                                                                                                                                	 7                                                                                                                                                                                                                               
